gene	ensembl	gene_description	sample_1	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_2	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_3	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_4	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_5	sample_50	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_6	sample_7	sample_8	sample_9
CASR	ENSG00000036828	Calcium sensing receptor	0.008	0.124	0.022000000000000002	0.0	0.0	0.008	0.022000000000000002		0.005	0.537	0.483	0.155	0.568		0.14400000000000002	0.0	0.316	0.006999999999999999	0.002	0.006999999999999999	0.0	0.0		0.0	0.0	0.006	0.10099999999999999	0.021	0.0	1.8159999999999998	0.003	0.037000000000000005	0.013000000000000001	0.040999999999999995	0.13699999999999998	0.043	0.0	0.003	0.009000000000000001	0.005	0.011000000000000001	0.011000000000000001	0.006999999999999999	0.002	0.033	0.068	0.039	0.184	0.011000000000000001			0.01	0.037000000000000005	0.012	0.01	0.04	0.0
NSG1	ENSG00000168824	Neuronal vesicle trafficking associated 1	0.091	0.086	0.595	0.919	0.41200000000000003	0.107	0.14800000000000002	0.9279999999999999	0.166	1.7069999999999999	0.183	0.331	0.207		0.14800000000000002	0.628	0.457	0.431	13.172		0.23199999999999998	0.102	0.10300000000000001	0.048	0.293	0.884			0.405	0.213	0.094	0.249	0.054000000000000006		0.8220000000000001	0.26899999999999996	0.24100000000000002	3.6919999999999997	0.111	0.32	0.752	0.21	0.08199999999999999	0.308	0.41600000000000004	0.932	0.06	0.083	0.08800000000000001	0.06	0.14		0.028999999999999998		0.025	0.182	0.12
NEUROG2	ENSG00000178403	Neurogenin 2	0.0	0.0	0.0	0.08199999999999999	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009000000000000001	0.006999999999999999	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.071	0.0		0.044000000000000004	0.0	0.0	0.0	0.024	0.0	0.045	0.028999999999999998	0.0	0.0	0.008	0.02	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0
ZNF804B	ENSG00000182348	Zinc finger protein 804B	0.002		0.026000000000000002	0.001	0.0	0.0	0.0	0.037000000000000005	0.0	0.218	0.0	0.003			0.075		0.009000000000000001	0.003	0.024	0.0	0.01	0.008	0.0	0.0	0.0	0.0	0.057999999999999996	0.0	0.03	0.003	0.0	0.0	0.0	0.027000000000000003	0.0	0.003		0.039	0.0		0.012	0.0	0.006999999999999999		0.024	0.0	0.0	0.002	0.017	0.0	0.003	0.0	0.0	0.22399999999999998		0.005	0.003
ZBED2	ENSG00000177494	Zinc finger BED-type containing 2		0.02	0.021	0.045	0.0		0.013000000000000001	0.0	0.008	0.027000000000000003	0.061	0.021	0.040999999999999995	0.0	0.11	0.098	0.028999999999999998	0.022000000000000002	0.006999999999999999	0.0	0.027000000000000003	0.013999999999999999	0.013000000000000001	0.10099999999999999	0.011000000000000001	0.055	0.043	0.096		0.016	0.0	0.018000000000000002	0.021	0.046	0.145	0.0	0.059000000000000004	0.0	0.027999999999999997	0.106	0.08	0.429	0.021	0.172	0.193		0.0		0.011000000000000001	0.0	0.035	0.037000000000000005		0.0	0.0		0.006999999999999999
IL9R	ENSG00000124334	Interleukin 9 receptor	0.013000000000000001	0.0	0.024	0.045	0.018000000000000002	0.0	0.004	0.0		0.009000000000000001	0.003	0.011000000000000001	0.033	0.0	0.003	0.018000000000000002	0.01	0.012	0.034	0.017	0.0	0.004	0.0	0.0	0.0	0.004	0.008	0.027999999999999997		0.051	0.0	0.006	0.006999999999999999	0.016	0.033	0.0	0.0	0.047	0.004	0.017		0.032	0.011000000000000001	0.042			0.006	0.006	0.004	0.0	0.006	0.001	0.004	0.027999999999999997	0.011000000000000001		
S100A12	ENSG00000163221	S100 calcium binding protein A12		0.054000000000000006		2.792	5.937	1.986	2.573	0.41700000000000004	0.324	0.451	0.858	6.421		0.248	19.499000000000002	1.726		0.616		0.22899999999999998		0.035	0.13699999999999998			0.0	0.1	0.22899999999999998		0.639	0.568		15.365	0.129	3.68	2.291	0.491	4.971	12.325	3.95	0.965	49.333	99.881	0.305	0.856		8.886000000000001	5.382999999999999	2.2430000000000003		23.041	1.952	3.48	1.71	0.0		0.904
GIP	ENSG00000159224	Gastric inhibitory polypeptide	0.054000000000000006	0.0		0.299	0.392	0.069	0.017	0.053		0.188	0.076	0.044000000000000004	0.0	0.034	0.059000000000000004	0.161	0.08800000000000001	0.35100000000000003	0.175	0.27	0.557	0.41700000000000004	0.046	0.21600000000000003	0.23199999999999998	1.156	0.182	1.167		0.0	0.47200000000000003	0.019	0.022000000000000002	0.647	0.0	0.10800000000000001		0.271	0.106	0.174	0.561	0.34299999999999997	0.0	0.35600000000000004	0.02		0.0	0.0	0.011000000000000001	0.0		0.0	0.0	0.12	0.149		0.302
CA9	ENSG00000107159	Carbonic anhydrase 9	0.252		5.079	2.609	2.8810000000000002	0.18600000000000003	0.672	0.08900000000000001	0.33399999999999996			0.43700000000000006		0.33899999999999997	0.312		1.3159999999999998	0.187		0.39	0.81	0.35200000000000004	0.07200000000000001			1.012	1.405	1.046		26.021	0.17	0.024	0.040999999999999995	0.231	0.125	0.45399999999999996	0.207	0.568	0.02	3.327	4.675		0.023	0.11699999999999999	0.11		0.21	0.21600000000000003	0.094	0.052000000000000005	0.19899999999999998	0.0	0.247	0.10099999999999999	0.292		
FAM189A1	ENSG00000104059	Family with sequence similarity 189 member A1	0.040999999999999995	0.528		1.7730000000000001		0.228	0.187	0.556	0.034	7.982	0.397	0.261		0.039	0.268	0.271	0.7	0.128	0.03	0.309		0.031	0.10300000000000001	0.2	0.89	0.07200000000000001	0.336	0.16	0.075	9.592	0.055	0.033	0.017	1.053	0.884	0.258	0.46399999999999997	3.5839999999999996	0.004	0.9540000000000001	0.29600000000000004	0.016		0.18600000000000003	0.121	0.406	0.026000000000000002	0.034	0.004	0.023	0.038	0.003	0.015	0.122		0.004	0.035
NEUROD1	ENSG00000162992	Neuronal differentiation 1	0.0		0.0	0.0	0.0		0.004	0.248	0.0	0.6990000000000001		0.0	0.0	0.021	0.006	0.095	0.027999999999999997	0.037000000000000005	0.006	0.012	0.0	0.0	0.0	0.0	0.252	0.0	0.054000000000000006	0.055999999999999994			0.0	0.005	0.0	0.09	0.027000000000000003	0.006	0.011000000000000001	0.201	0.0	0.10300000000000001	0.11800000000000001			0.021			0.0	0.0	0.012		0.027999999999999997	0.0	0.0	0.0	0.0		0.0
MYADML2	ENSG00000185105	Myeloid associated differentiation marker like 2	0.094	0.036000000000000004	0.09	0.061	0.09	0.07200000000000001		0.048	0.134	0.149	0.046	0.006999999999999999	0.0		0.055999999999999994	0.02	0.055	0.043	0.14300000000000002	0.302			0.031	0.002	0.188	0.10300000000000001	0.046			0.233		0.0	0.0	0.276	0.083	0.001	2.418		0.019	0.10300000000000001	0.35200000000000004	0.045	0.03	0.264	0.023		0.0	0.0	0.005			0.0	0.006999999999999999	0.085	0.04		0.012
MMP9	ENSG00000100985	Matrix metallopeptidase 9	0.163	0.65	1.415	16.067	9.957	1.053	1.479	1.541	2.2119999999999997	3.91	2.875	1.141		1.893	3.6630000000000003	2.758	0.366	1.145	0.9740000000000001	0.863		0.5379999999999999	0.08800000000000001	1.034	7.369		16.027	3.173			0.27699999999999997	1.4409999999999998	2.061		2.083	0.6859999999999999	23.092	4.114	7.832000000000001	7.071000000000001	122.337	3.898	9.783999999999999	3.116	0.7609999999999999		1.2	0.797	0.9329999999999999	0.337	5.446000000000001	0.24600000000000002	1.088	0.35700000000000004	0.31		3.409
FAM25G	ENSG00000189090	Family with sequence similarity 25 member G		0.004	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.015	0.0	0.023	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0			0.061	0.0	0.0	0.021	0.0	0.0	0.0	0.0		0.022000000000000002	0.0	0.0	0.0	0.0	0.0		0.015	0.0	0.006		0.012	0.0	0.0	0.0	0.003		
PAK5	ENSG00000101349	P21 (RAC1) activated kinase 5	0.0	0.207	0.008	0.218	0.0	0.032	0.0	0.019		0.158	0.294	0.071		0.0	0.081	0.048		0.045		0.022000000000000002	0.0	0.003	0.0	0.0		0.085	0.054000000000000006	0.039		1.288	0.0	0.0	0.0	0.051	0.02	0.025	0.049		0.003	0.013000000000000001	0.038	0.0	0.0	0.005	0.0		0.0		0.048	0.013999999999999999	0.064	0.0	0.011000000000000001	0.001	0.0		0.0
GOT1L1	ENSG00000169154	Glutamic-oxaloacetic transaminase 1 like 1	0.0	0.0	0.042	0.0	0.0	0.0	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01		0.0	0.005	0.0	0.0	0.0		0.0	0.018000000000000002	0.0		0.0	0.0	0.0	0.0	0.11800000000000001	0.0	0.0	0.071	0.027999999999999997	0.0	0.003	0.0	0.006999999999999999	0.0	0.0	0.0		0.0	0.0	0.005	0.0	0.039	0.0		0.0	0.0		0.0
CRYM	ENSG00000103316	Crystallin mu	0.405		1.013	0.8959999999999999	0.613	1.04		0.831	0.7340000000000001	1.834	0.402	0.541	1.4169999999999998	0.168	0.792		1.381	0.45	0.154	0.488	0.043	0.6890000000000001	0.245	0.165	0.41100000000000003	0.6759999999999999	0.6940000000000001	0.7829999999999999	0.386	0.9129999999999999	0.449	1.399	0.892	0.5539999999999999		1.198	35.81	0.731	0.752		0.355	0.755	1.412	0.218	0.42700000000000005	1.681	1.357	2.105	1.3980000000000001	1.181	0.919	3.009		0.618	0.38	2.625	0.0
KRT6B	ENSG00000185479	Keratin 6B	0.0	0.0	0.133	0.002	0.0	0.003	0.0		1.092	0.47700000000000004	0.073	0.013000000000000001	0.276	0.0	0.08199999999999999	0.018000000000000002	0.16899999999999998	0.001	0.044000000000000004	0.0	0.005	0.055	0.001	0.0	0.02			0.047		0.019	0.027999999999999997	0.002	0.042	0.042	0.0	0.084	0.0	0.003	0.0		0.019	0.0		0.0	0.005		0.0	0.002		0.0	0.012		0.009000000000000001	0.0	0.15		0.005
PPY	ENSG00000108849	Pancreatic polypeptide	0.0	0.0	0.0	0.0	0.076	0.18899999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0		0.0	0.054000000000000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.031	0.0	0.0		0.0	0.034		0.0	0.047	0.0	0.0	0.12300000000000001		0.0	0.0		0.106	0.0	0.0	0.0		0.0		
KRTAP17-1	ENSG00000186860	Keratin associated protein 17-1	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.025	0.037000000000000005	0.0	0.0		0.0		0.0	0.0	0.024	0.023	0.0	0.0	0.0	0.0	0.0		0.0			0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.084		0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.040999999999999995	0.0		0.0
TAS2R40	ENSG00000221937	Taste 2 receptor member 40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.015	0.0	0.0	0.0		0.0	0.008	0.017	0.052000000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.027999999999999997	0.0	0.015	0.03	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0		0.012	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013999999999999999	0.0	0.0	0.0	0.0		0.0
ANO5	ENSG00000171714	Anoctamin 5	0.023		0.073	0.08900000000000001		0.25	0.069	0.5920000000000001	0.136	11.495	0.35700000000000004	0.125	0.695	0.024	0.27699999999999997	0.046	0.188	0.049	0.031	0.008	0.005	0.006999999999999999	0.071	0.583	0.03	0.10800000000000001	0.474	0.268	0.42	0.102	0.01		0.009000000000000001	0.057	1.6840000000000002	0.162	1.092	0.092	0.002	0.032	0.017	0.011000000000000001	0.0			0.331	0.594	0.838	1.33	0.823	1.19	1.168	0.82	0.1	0.14800000000000002	0.21	0.002
DSC3	ENSG00000134762	Desmocollin 3	0.01		0.015	0.057	0.022000000000000002	0.006	0.03	0.055999999999999994	0.127	0.092	0.05		0.054000000000000006	0.001	0.038		0.035	0.034	0.006	0.068	0.017		0.013999999999999999	0.0	0.0	0.036000000000000004	0.009000000000000001	0.065			0.013000000000000001		0.002	0.036000000000000004	0.013999999999999999	0.004	0.09	0.002	0.003	0.044000000000000004	0.013999999999999999	0.012	0.002	0.057999999999999996	0.011000000000000001		0.002		0.006999999999999999	0.006999999999999999	0.008	0.001	0.002	0.035	0.003		0.022000000000000002
PRRX1	ENSG00000116132	Paired related homeobox 1	0.013999999999999999	13.792		3.7319999999999998	0.096	0.163		16.384	0.879	34.274	0.937	0.301	0.5479999999999999	0.10300000000000001	1.416	0.335	0.461		0.055999999999999994	0.15	0.285	0.096	0.004		0.9520000000000001	0.8370000000000001	0.031	0.45899999999999996		1.085	0.057999999999999996	0.038	0.063	0.7959999999999999	0.835		39.078	0.8440000000000001	0.895	2.88	1.756	0.9209999999999999	0.14400000000000002	3.668	0.354		0.10400000000000001	0.033		0.040999999999999995	0.024	0.003	0.057999999999999996	1.08	0.062		0.193
RIMS2	ENSG00000176406	Regulating synaptic membrane exocytosis 2	0.0	0.049	0.033	0.044000000000000004	0.043	0.568	0.06	0.004	0.075	0.026000000000000002	0.042		0.012	0.09300000000000001	0.001	0.038	0.10300000000000001	0.006999999999999999	0.045	0.603	0.0	0.013000000000000001	0.0	0.0	0.027999999999999997	0.0	0.032	0.003		0.008	0.004	0.0	0.008		0.043	0.13	0.276	0.11699999999999999	0.0	0.111	0.019	0.005	0.028999999999999998	0.166	0.005			0.0	0.012	0.0		0.0	0.0	0.055999999999999994			0.0
EPX	ENSG00000121053	Eosinophil peroxidase	0.085	0.12300000000000001	0.21	1.2890000000000001	0.192	0.019		0.038	0.022000000000000002	0.015	0.078	0.5479999999999999	0.187	0.036000000000000004		0.495	0.06	0.043	0.092	0.26899999999999996	0.047	0.024	0.023	0.062	0.026000000000000002	0.06	0.10400000000000001	0.087	0.002	0.055999999999999994	0.066	0.903	6.431	0.087	0.214		0.003		0.7120000000000001	0.275		0.23399999999999999	3.3710000000000004	0.004	0.043		0.017	0.036000000000000004	0.009000000000000001	0.042	0.028999999999999998	0.055	0.006	0.201	0.016	0.024	
SAA2	ENSG00000134339	Serum amyloid A2	0.09699999999999999	0.41100000000000003		8.295	0.129	87.48700000000001	0.07400000000000001	0.015	3.985	0.16	0.386	0.462	20.073	0.16899999999999998	0.483	16.464000000000002	1.171	6.289		0.33399999999999996	0.242	71.372	8.014	15.374	0.08199999999999999	0.10300000000000001	1.6159999999999999	367.86199999999997	3.447	0.057	0.22899999999999998	1.645	17.628	0.207	2.8560000000000003	1.726	0.0	0.924	506.596	4.075	2.716	0.166	3.887	0.86	2.188	1.6780000000000002	59.573	289.644	1013.0989999999999	32.938	143.615	925.815	15.181	2.271	0.16399999999999998	341.81199999999995	
TUNAR	ENSG00000250366	TCL1 upstream neural differentiation-associated RNA	0.0	0.0	0.0	0.0	0.0	0.0		0.063	0.0	0.33799999999999997	0.005		0.0	0.0	0.019	0.019	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.107	0.0	0.0	0.02	0.0	0.0	0.0	0.005	0.011000000000000001	0.0	0.095	0.012	0.022000000000000002	0.017	0.0			0.011000000000000001	0.0	0.21899999999999997	0.0	0.068	0.0	0.0	0.005	0.017	0.0	0.0	0.006	0.0	0.0	0.0	0.0
RHAG	ENSG00000112077	Rh associated glycoprotein	0.078	0.005	0.09300000000000001	9.703	11.524000000000001	0.22899999999999998	6.968999999999999		0.044000000000000004	0.008	0.245	0.486	0.013000000000000001		3.2110000000000003	1.9169999999999998	0.0		0.023	0.44299999999999995	0.0	0.0	0.17300000000000001	0.08800000000000001		0.318	0.011000000000000001	0.0			0.769	3.7510000000000003	6.229	0.034	2.22	1.7890000000000001	0.005	0.102	2.6060000000000003	0.13699999999999998	1.7	6.934	28.949	0.033	0.11900000000000001		0.021	0.8240000000000001	0.037000000000000005	0.008	0.02	0.013999999999999999	0.0	0.008	0.0		0.0
POTEC	ENSG00000183206	POTE ankyrin domain family member C	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.001	0.0	0.009000000000000001	0.0	0.0	0.0	0.0	0.0		0.005	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.027000000000000003	0.0	0.0	0.0	0.044000000000000004	0.0	0.0	0.006999999999999999	0.0	0.0	0.0	0.0	0.0		0.0	0.004	0.0	0.011000000000000001	0.0	0.0	0.031	0.0	0.0	0.0
LRRC10B	ENSG00000204950	Leucine rich repeat containing 10B	0.096	0.091	0.267	0.264			0.102		0.316	0.025	0.267		0.066	0.11		0.278	0.114	0.42700000000000005	0.134	0.131	0.10300000000000001	0.073	0.057	0.138	0.061			0.158		1.3969999999999998	0.09	0.125	0.127	0.289	0.387	0.33299999999999996	0.242	5.042	0.055999999999999994		0.239		0.065	0.078	0.141		0.018000000000000002	0.012	0.03	0.043	0.036000000000000004	0.0	0.047	0.106	0.067		0.013000000000000001
MAGEB18	ENSG00000176774	MAGE family member B18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027999999999999997	0.0	0.0		0.0	0.062	0.0	0.0			0.0	0.008	0.0	0.045	0.0	0.016	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.09	0.017	0.013000000000000001	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0
ADRB1	ENSG00000043591	Adrenoceptor beta 1	0.006999999999999999	0.136	0.017	0.077		0.036000000000000004	0.006	0.005	0.012	0.218	0.084		0.08900000000000001	0.054000000000000006	0.017	0.032	0.057	0.006		0.0	0.011000000000000001	0.011000000000000001	0.006	0.0	0.023	0.0	0.11800000000000001	0.071		0.0	0.046	0.024	0.003	0.185	0.129		0.14800000000000002	0.185	0.001	0.053	0.015		0.017	0.078	0.01		1.9980000000000002	0.099	0.035	0.107	0.09699999999999999	0.373	0.14300000000000002	0.057	0.034		0.016
OR13C2	ENSG00000276119	Olfactory receptor family 13 subfamily C member 2		0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.001	0.0		0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.017	0.0	0.0		0.0	0.01	0.051	0.0	0.039	0.0	0.001	0.073	0.0		0.0
PLA2G2D	ENSG00000117215	Phospholipase A2 group IID	0.021	0.0	0.0	0.0		0.018000000000000002	0.025	0.008	0.018000000000000002	0.021	0.251	0.191	0.125	0.009000000000000001	0.151	0.03	0.0	0.162		0.0	0.122		0.11599999999999999	0.0	0.0	0.113	0.0	0.267	2.05	0.054000000000000006	0.018000000000000002	0.10400000000000001	0.0		0.765	0.11199999999999999	0.053	0.47		1.016	0.18600000000000003	1.716	0.401	2.04	0.7979999999999999	7.0489999999999995	0.044000000000000004	0.037000000000000005	0.341	0.017	0.256	0.015	0.17800000000000002		0.053	0.0	
PROP1	ENSG00000175325	PROP paired-like homeobox 1	0.0	0.0	0.023	0.0	0.0	0.015		0.001	0.0	0.01	0.0	0.0	0.0		0.0	0.018000000000000002	0.0		0.038		0.0	0.0	0.0	0.0	0.0		0.026000000000000002				0.0	0.0	0.0	0.247	0.0	0.0	0.0	0.0		0.0	0.003	0.006	0.013000000000000001	0.11599999999999999	0.0			0.006	0.035	0.0	0.10300000000000001	0.009000000000000001	0.0	0.07			0.0
PRSS38	ENSG00000185888	Serine protease 38	0.0	0.049	0.17600000000000002	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.004	0.0	0.012	0.0	0.0	0.17300000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.214	0.0	0.0	0.001	0.28	0.0	0.011000000000000001	0.036000000000000004	0.008	0.0	0.0	0.0		0.0	0.0		0.0	0.155		0.0		0.0		0.0
SPATA31E1	ENSG00000177992	SPATA31 subfamily E member 1	0.0		0.0	0.012	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.006	0.006999999999999999	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.01	0.018000000000000002	0.027999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
MTUS2	ENSG00000132938	Microtubule associated scaffold protein 2		0.151	0.034	0.321	0.011000000000000001	0.03	0.011000000000000001	0.009000000000000001	0.01	0.01	0.019	0.011000000000000001	0.0	0.025	0.031	0.037000000000000005	0.03	0.016	0.017	0.017	0.024	0.016	0.004	0.001	0.03	0.0		0.02	0.028999999999999998	0.358	0.008	0.021	0.004	0.06		0.038		0.133	0.006999999999999999	0.064	0.017	0.0	0.011000000000000001	0.012	0.013999999999999999	0.01	0.132	0.017	0.02	0.01	0.134	0.098	0.042	0.017	0.0	0.006	0.03
LPAR1	ENSG00000198121	Lysophosphatidic acid receptor 1	0.053	1.6219999999999999	0.306	1.9	0.087	0.09300000000000001	0.39	3.609	0.301	17.340999999999998	1.5519999999999998	0.669	1.06	0.042	0.8		1.222	0.9940000000000001	0.021	0.055	0.043		0.046	0.391	0.102	0.263	0.727	0.64			0.032	0.716	0.044000000000000004	0.43700000000000006			33.454	4.113	0.135	1.056	0.583	0.40700000000000003	0.036000000000000004	1.1340000000000001	1.048			0.115	0.292	0.672	0.5539999999999999	0.317	0.619	0.6729999999999999	0.048		0.13699999999999998
CDH18	ENSG00000145526	Cadherin 18		0.0	0.027000000000000003	0.001	0.0	0.0	0.0			0.006999999999999999	0.0	0.016	0.0	0.01	0.006	0.025	0.009000000000000001	0.0	0.042	0.0	0.0	0.0	0.009000000000000001	0.0	0.0	0.0	0.035	0.003	0.27399999999999997	0.0	0.0	0.0	0.0	0.078	0.026000000000000002	0.023	0.0	0.122	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.017	0.0	0.001	0.026000000000000002	0.0		0.0	0.0	0.044000000000000004	0.0	0.01	0.0
HORMAD2	ENSG00000176635	HORMA domain containing 2	0.0	0.0	0.022000000000000002	0.031	0.0		0.0	0.0	0.0	0.027000000000000003		0.0	0.002	0.006	0.011000000000000001	0.002	0.023	0.002		0.008	0.0	0.022000000000000002	0.0		0.0	0.006	0.079	0.12300000000000001		0.045	0.0	0.009000000000000001	0.013000000000000001	0.013999999999999999	0.040999999999999995	0.055999999999999994	0.015	0.0	0.039	0.021	0.02	0.002	0.0	0.0	0.0		0.289	0.151	0.105	0.191	0.10300000000000001	0.087	0.188	0.008			0.0
CHRM1	ENSG00000168539	Cholinergic receptor muscarinic 1	0.0	0.049	0.0	0.004	0.011000000000000001	0.0	0.0	0.002	0.0	0.005	0.0	0.0	0.0	0.0	0.013000000000000001	0.0	0.001	0.0		0.0	0.0	0.0	0.0	0.018000000000000002	0.0	0.0	0.092	0.0	0.0	0.06	0.0	0.0	0.005	0.046	0.022000000000000002	0.0	0.301	0.13699999999999998			0.03	0.0	0.006	0.0	0.0	0.011000000000000001	0.0	0.005	0.0	0.0	0.019	0.0	0.0	0.068	0.0	0.0	0.0
FLG2	ENSG00000143520	Filaggrin family member 2	0.004	0.175	0.003	0.001	0.0	0.01	0.0	0.003	0.008	0.015		0.002	0.003	0.0	0.0	0.006999999999999999	0.008	0.002	0.009000000000000001	0.0	0.139	0.001	0.002	0.0	0.008	0.003	0.006999999999999999	0.171	0.003	0.004	0.0	0.003	0.006999999999999999	0.013999999999999999	0.0	0.0	0.011000000000000001	0.0	0.0	0.008	0.0	0.0	0.0	0.015	0.0	0.006999999999999999	0.001	0.002	0.006	0.0	0.003	0.008	0.005	0.013000000000000001	0.0	0.0	0.133
COL23A1	ENSG00000050767	Collagen type XXIII alpha 1 chain	0.049	1.4180000000000001	0.207	0.897	0.149	0.192	0.27	0.41100000000000003	0.22399999999999998	1.589	0.4	0.402	0.763		0.34299999999999997	0.584	0.561	2.06	0.026000000000000002	1.719	0.161	0.162	0.068	0.099	0.142	0.6890000000000001	0.498		0.34299999999999997	0.391	0.109	0.679	0.14300000000000002	0.626	2.065		17.182000000000002	6.853	0.061	0.195	1.369	0.222	0.136		0.491	1.2570000000000001			0.16899999999999998	0.154	0.22899999999999998	0.151	0.265	0.214	0.027000000000000003	0.16899999999999998	0.096
SLC22A31	ENSG00000259803	Solute carrier family 22 member 31		8.594		3.237	0.021	0.034	0.14800000000000002	0.48	0.055999999999999994	0.544	0.047	0.11699999999999999		1.906	0.043	1.4		0.09699999999999999	0.134	0.027000000000000003	0.083	0.102	0.044000000000000004	1.33		3.1319999999999997	15.869000000000002	0.053		0.797	0.0	0.053	0.077	0.6709999999999999	0.033	0.053	0.14800000000000002	1.4380000000000002	0.077	1.88	1.3559999999999999	0.264	0.293	0.051	0.03		0.022000000000000002	0.063	0.022000000000000002	0.01	0.009000000000000001	0.0	0.036000000000000004	0.08800000000000001	0.0		
OR2T33	ENSG00000177212	Olfactory receptor family 2 subfamily T member 33	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0		0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.017		0.025	0.0	0.0	0.066	0.0	0.0		0.0	0.0	0.003	0.0	0.018000000000000002	0.0	0.0	0.036000000000000004	0.0		0.0
FAM181B	ENSG00000182103	Family with sequence similarity 181 member B	0.0	0.331	0.111	0.084	0.14300000000000002	0.057999999999999996	0.006999999999999999	0.042	0.018000000000000002	0.536	0.08	0.025	0.078	0.0	0.156	0.057999999999999996	0.33299999999999996	0.149	3.1719999999999997	0.159	0.0	0.017	0.0		0.064	1.17	0.13	0.008		0.018000000000000002	0.0	0.0	0.006	0.011000000000000001	0.38799999999999996	0.018000000000000002	1.745	0.0	0.008	0.013000000000000001		0.068		0.076	0.10800000000000001		0.006999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0		0.008
C18orf63	ENSG00000206043	Chromosome 18 open reading frame 63		0.0	0.0	0.0	0.013999999999999999	0.0	0.0	0.006	0.0	0.006999999999999999	0.0	0.0	0.0	0.0	0.011000000000000001	0.006	0.004	0.0	0.0	0.008	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.021	0.015	0.0	0.0	0.003	0.0	0.005	0.009000000000000001	0.006	0.0	0.002	0.0		0.0	0.0	0.006	0.0	0.005	0.0	0.0	0.005	0.0		
