"","pathway_name","pathway_size","p_value","q_value","size","num_gene_in_set","module_num","module_index","density1","density2","mean_diff","sd_diff","genes_in_path","genes_in_module"
"69","GO:MF monovalent inorganic cation transmembrane transporter activity","34","0.125","0.161","17","1","2","H1,H4","0.74//0.89//0.62//0.36//0.62//0.65","0.17//0.48//0.15//0.28//0.41//0.13","0.38","0.19","COX7A1","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,FLNA,CNN1,ID3,PPP1R12B"
"70","GO:CC axon","12","0.125","0.161","17","1","2","L1,L4","0.066//0.066//0.12//0.088//0.29//0.17","0.51//0.69//0.27//0.12//0.46//0.32","-0.26","0.22","NEFH","DHCR24,AMD1,TM7SF2,STEAP1,SORD,TSPAN8,HIST2H2BE,C1R,FOXA1,BASP1,HOXB13,NEFH,AQP3,RDH11,KLK2,SERPING1,FBLN1"
"71","Reactome Creation of C4 and C2 activators","10","0.14","0.17","19","1","2","L2,L3","0.029//0.047//0.076//0.11//0.26//0.18","0.45//0.77//0.19//0.11//0.34//0.55","-0.28","0.27","C1S","TSPAN8,AMD1,BASP1,DHCR24,STEAP1,SORD,HIST2H2BE,C1S,FOXA1,TM7SF2,TSPAN1,EPCAM,HOXB13,PTPRN2,FAAH,NEDD4L,COX7A1,KLK2,FASN"
"72","GO:BP cell maturation","16","0.147","0.17","20","1","2","H3,H5","0.71//0.81//0.56//0.28//0.5//0.63","0.17//0.38//0.24//0.22//0.41//0.18","0.31","0.2","MYH11","CAV1,GJA1,GAS1,FILIP1L,PCP4,ACTG2,GSTP1,EDNRA,MYLK,ID3,TPM2,FHL1,FERMT2,MYH11,COL6A2,LMOD1,CNN1,FLNC,CRYAB,HPN"
"73","GO:BP myoblast differentiation","17","0.147","0.17","20","1","2","H3,H5","0.71//0.81//0.56//0.28//0.5//0.63","0.17//0.38//0.24//0.22//0.41//0.18","0.31","0.2","MYH11","CAV1,GJA1,GAS1,FILIP1L,PCP4,ACTG2,GSTP1,EDNRA,MYLK,ID3,TPM2,FHL1,FERMT2,MYH11,COL6A2,LMOD1,CNN1,FLNC,CRYAB,HPN"
"74","GO:BP developmental maturation","18","0.147","0.17","20","1","2","H3,H5","0.71//0.81//0.56//0.28//0.5//0.63","0.17//0.38//0.24//0.22//0.41//0.18","0.31","0.2","MYH11","CAV1,GJA1,GAS1,FILIP1L,PCP4,ACTG2,GSTP1,EDNRA,MYLK,ID3,TPM2,FHL1,FERMT2,MYH11,COL6A2,LMOD1,CNN1,FLNC,CRYAB,HPN"
"75","GO:BP muscle cell differentiation","22","0.147","0.17","20","1","2","H3,H5","0.71//0.81//0.56//0.28//0.5//0.63","0.17//0.38//0.24//0.22//0.41//0.18","0.31","0.2","MYH11","CAV1,GJA1,GAS1,FILIP1L,PCP4,ACTG2,GSTP1,EDNRA,MYLK,ID3,TPM2,FHL1,FERMT2,MYH11,COL6A2,LMOD1,CNN1,FLNC,CRYAB,HPN"
"76","Reactome Sema4D induced cell migration and growth-cone collapse","27","0.147","0.17","20","1","2","H3,H5","0.71//0.81//0.56//0.28//0.5//0.63","0.17//0.38//0.24//0.22//0.41//0.18","0.31","0.2","MYH11","CAV1,GJA1,GAS1,FILIP1L,PCP4,ACTG2,GSTP1,EDNRA,MYLK,ID3,TPM2,FHL1,FERMT2,MYH11,COL6A2,LMOD1,CNN1,FLNC,CRYAB,HPN"
"77","GO:BP extracellular structure organization","32","0.147","0.17","20","1","2","H3,H5","0.71//0.81//0.56//0.28//0.5//0.63","0.17//0.38//0.24//0.22//0.41//0.18","0.31","0.2","MYH11","CAV1,GJA1,GAS1,FILIP1L,PCP4,ACTG2,GSTP1,EDNRA,MYLK,ID3,TPM2,FHL1,FERMT2,MYH11,COL6A2,LMOD1,CNN1,FLNC,CRYAB,HPN"
"78","Reactome Sema4D in semaphorin signaling","32","0.147","0.17","20","1","2","H3,H5","0.71//0.81//0.56//0.28//0.5//0.63","0.17//0.38//0.24//0.22//0.41//0.18","0.31","0.2","MYH11","CAV1,GJA1,GAS1,FILIP1L,PCP4,ACTG2,GSTP1,EDNRA,MYLK,ID3,TPM2,FHL1,FERMT2,MYH11,COL6A2,LMOD1,CNN1,FLNC,CRYAB,HPN"
"79","Reactome Degradation of the extracellular matrix","29","0.154","0.176","21","1","2","L3,L4","0.052//0.052//0.11//0.12//0.2//0.19","0.39//0.66//0.22//0.12//0.31//0.38","-0.23","0.22","KLK2","DHCR24,PTPRN2,TSPAN8,STEAP1,FAAH,HIST2H2BE,SORD,C1S,NEDD4L,HOXB13,COX7A1,KLK2,FOXA1,FASN,AMD1,BASP1,AQP3,RDH11,NEFH,SERPING1,FBLN1"
"80","GO:MF serine-type peptidase activity","45","0.17","0.187","21","2","2","L3,L4","0.052//0.052//0.11//0.12//0.2//0.19","0.39//0.66//0.22//0.12//0.31//0.38","-0.23","0.22","C1S,KLK2","DHCR24,PTPRN2,TSPAN8,STEAP1,FAAH,HIST2H2BE,SORD,C1S,NEDD4L,HOXB13,COX7A1,KLK2,FOXA1,FASN,AMD1,BASP1,AQP3,RDH11,NEFH,SERPING1,FBLN1"
"81","GO:MF serine hydrolase activity","46","0.17","0.187","21","2","2","L3,L4","0.052//0.052//0.11//0.12//0.2//0.19","0.39//0.66//0.22//0.12//0.31//0.38","-0.23","0.22","C1S,KLK2","DHCR24,PTPRN2,TSPAN8,STEAP1,FAAH,HIST2H2BE,SORD,C1S,NEDD4L,HOXB13,COX7A1,KLK2,FOXA1,FASN,AMD1,BASP1,AQP3,RDH11,NEFH,SERPING1,FBLN1"
"82","GO:MF endopeptidase activity","117","0.17","0.187","21","2","2","L3,L5","0.029//0.043//0.071//0.1//0.22//0.16","0.4//0.69//0.2//0.15//0.24//0.52","-0.26","0.24","C1S,KLK2","DHCR24,PTPRN2,TSPAN8,STEAP1,FAAH,HIST2H2BE,SORD,C1S,NEDD4L,HOXB13,COX7A1,KLK2,FOXA1,FASN,TSPAN1,TM7SF2,AMD1,TMEM47,SLC4A4,FBP1,BASP1"
"83","GO:CC myofibril","19","0.222","0.233","16","1","2","H1,H3","0.76//0.88//0.69//0.29//0.58//0.61","0.11//0.45//0.2//0.24//0.35//0.12","0.39","0.21","TPM2","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,ID3,FERMT2,MYH11"
"84","GO:CC contractile fiber part","23","0.222","0.233","16","1","2","H1,H3","0.76//0.88//0.69//0.29//0.58//0.61","0.11//0.45//0.2//0.24//0.35//0.12","0.39","0.21","TPM2","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,ID3,FERMT2,MYH11"
"85","GO:CC contractile fiber","25","0.222","0.233","16","1","2","H1,H3","0.76//0.88//0.69//0.29//0.58//0.61","0.11//0.45//0.2//0.24//0.35//0.12","0.39","0.21","TPM2","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,ID3,FERMT2,MYH11"
"86","BioCarta Actions of Nitric Oxide in the Heart","33","0.222","0.233","16","1","2","H1,H3","0.76//0.88//0.69//0.29//0.58//0.61","0.11//0.45//0.2//0.24//0.35//0.12","0.39","0.21","CAV1","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,ID3,FERMT2,MYH11"
"87","Reactome Initial triggering of complement","16","0.261","0.27","19","1","2","L2,L3","0.029//0.047//0.076//0.11//0.26//0.18","0.45//0.77//0.19//0.11//0.34//0.55","-0.28","0.27","C1S","TSPAN8,AMD1,BASP1,DHCR24,STEAP1,SORD,HIST2H2BE,C1S,FOXA1,TM7SF2,TSPAN1,EPCAM,HOXB13,PTPRN2,FAAH,NEDD4L,COX7A1,KLK2,FASN"
"88","GO:BP skeletal muscle tissue development","31","0.273","0.28","20","1","2","H3,H5","0.71//0.81//0.56//0.28//0.5//0.63","0.17//0.38//0.24//0.22//0.41//0.18","0.31","0.2","MYH11","CAV1,GJA1,GAS1,FILIP1L,PCP4,ACTG2,GSTP1,EDNRA,MYLK,ID3,TPM2,FHL1,FERMT2,MYH11,COL6A2,LMOD1,CNN1,FLNC,CRYAB,HPN"
"89","GO:MF peptidase activity","176","0.295","0.298","21","2","2","L3,L5","0.029//0.043//0.071//0.1//0.22//0.16","0.4//0.69//0.2//0.15//0.24//0.52","-0.26","0.24","C1S,KLK2","DHCR24,PTPRN2,TSPAN8,STEAP1,FAAH,HIST2H2BE,SORD,C1S,NEDD4L,HOXB13,COX7A1,KLK2,FOXA1,FASN,TSPAN1,TM7SF2,AMD1,TMEM47,SLC4A4,FBP1,BASP1"
"90","Reactome Complement cascade","32","0.366","0.366","19","1","2","L2,L3","0.029//0.047//0.076//0.11//0.26//0.18","0.45//0.77//0.19//0.11//0.34//0.55","-0.28","0.27","C1S","TSPAN8,AMD1,BASP1,DHCR24,STEAP1,SORD,HIST2H2BE,C1S,FOXA1,TM7SF2,TSPAN1,EPCAM,HOXB13,PTPRN2,FAAH,NEDD4L,COX7A1,KLK2,FASN"
