Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
glycine[p]	5	-12.315	0.93808	0.99976	18.157	0.13921	0.44949	11.89	0.33176	0.46113	0	NA	NA	NA	5	11.89	0.506	0.79202
succinyl-CoA[m]	17	-23.035	0.99845	0.99976	39.034	0.0040907	0.051603	27.921	0.02672	0.1276	1	8.777	0.18418	0.33481	16	26.586	0.13687	0.5548
threonine[c]	29	3.3177	0.03801	0.73707	14.934	0.6973	0.9623	38.704	0.0033555	0.094452	13	30.42	0.00092699	0.11803	16	24.687	0.25093	0.63481
creatine-phosphate[c]	5	-11.116	0.90966	0.99976	22.8	0.055581	0.24616	10.151	0.4449	0.58144	0	NA	NA	NA	5	10.151	0.65601	0.87159
choline[c]	25	-25.9	0.99925	0.99976	49.415	0.00025306	0.010357	28.882	0.084902	0.19948	4	-0.93689	0.79235	0.87418	21	31.922	0.05653	0.51104
homocysteine[c]	10	-15.427	0.97434	0.99976	36.084	0.0022927	0.042582	25.68	0.016087	0.1086	2	7.8048	0.25293	0.39962	8	24.809	0.014436	0.32381
dimethylglycine[c]	5	-8.777	0.82847	0.99976	8.777	0.47794	0.833	11.509	0.35566	0.48647	1	3.2049	0.47428	0.61511	4	11.265	0.45541	0.76336
methionine[c]	34	-5.6251	0.3701	0.98805	26.144	0.27969	0.67851	40.785	0.0020258	0.094452	12	28.217	0.0013547	0.11803	22	29.863	0.14003	0.55484
formaldehyde[c]	20	-20.089	0.98992	0.99976	40.686	0.0041411	0.051603	23.194	0.18941	0.32857	2	7.7983	0.25324	0.3998	18	21.849	0.60106	0.82138
cys-gly[c]	11	-21.454	0.9983	0.99976	49.026	8.651e-06	0.00049022	28.346	0.0077752	0.094452	1	6.168	0.30553	0.45455	10	27.779	0.0093226	0.32381
gamma-L-glutamyl-L-alanine[c]	6	-18.205	0.99174	0.99976	34.205	0.0034797	0.046049	19.426	0.056117	0.15311	0	NA	NA	NA	6	19.426	0.07731	0.54345
glyoxalate[c]	9	-6.7817	0.68886	0.99976	11.136	0.46323	0.81612	5.6545	0.86741	0.9694	3	-1.1861	0.77124	0.87418	6	7.764	0.89979	0.99491
glycolate[c]	11	-14.522	0.95776	0.99976	26.339	0.047484	0.21954	19.014	0.19107	0.33086	1	7.3063	0.24852	0.39801	10	17.632	0.44623	0.75931
acetylcarnosine[c]	6	-2.1576	0.42832	0.99976	2.1576	0.76139	0.9623	8.6557	0.6001	0.73967	3	2.2762	0.59952	0.74176	3	9.9648	0.45589	0.76336
carnosine[c]	9	-3.593	0.48457	0.99976	3.593	0.77187	0.9623	9.282	0.68983	0.81612	4	3.1191	0.58956	0.73339	5	9.6633	0.69495	0.90563
histamine[c]	11	-16.145	0.97764	0.99976	31.901	0.010337	0.075644	14.119	0.47473	0.61318	1	-8.2095	0.95012	0.99796	10	17.405	0.46591	0.76451
N-methylhistamine[c]	6	-18.075	0.99126	0.99976	39.409	0.00057207	0.018323	19.648	0.051952	0.14663	0	NA	NA	NA	6	19.648	0.070121	0.54345
methylimidazole-acetaldehyde[c]	9	-20.882	0.99776	0.99976	38.3	0.00094322	0.025115	22.48	0.039532	0.13773	0	NA	NA	NA	9	22.48	0.080207	0.54522
urocanate[c]	7	3.408	0.11205	0.75962	-3.408	0.923	0.9791	9.0579	0.59815	0.73767	5	5.9702	0.4552	0.60494	2	7.506	0.51175	0.79202
S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]glutathione[c]	19	-7.8339	0.61848	0.99976	20.714	0.2861	0.68948	28.982	0.026804	0.1276	6	18.047	0.038504	0.18682	13	22.777	0.23847	0.63481
S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine[c]	21	-15.373	0.94153	0.99976	30.475	0.058555	0.24982	30.977	0.017917	0.11111	4	17.387	0.03268	0.17393	17	25.994	0.20745	0.63481
N-acetyl-S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine[c]	21	-15.373	0.94153	0.99976	30.475	0.058555	0.24982	30.977	0.017917	0.11111	4	17.387	0.03268	0.17393	17	25.994	0.20745	0.63481
NH4+[c]	22	-6.5569	0.50309	0.99976	19.651	0.38786	0.77642	30.481	0.023389	0.1276	6	23.306	0.0057628	0.12041	16	21.47	0.51792	0.79202
S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-3-thiolactate[c]	14	-10.791	0.84743	0.99976	25.796	0.079419	0.30366	26.469	0.032918	0.13456	3	15.895	0.046616	0.19584	11	21.56	0.20433	0.63481
imidazole-4-acetaldehyde[c]	8	-21.421	0.99855	0.99976	44.514	5.8622e-05	0.0027565	23.701	0.016693	0.10952	0	NA	NA	NA	8	23.701	0.026858	0.38901
imidazole-4-acetate[c]	5	-18.164	0.99406	0.99976	35.691	0.0013212	0.030416	20.581	0.027671	0.1276	0	NA	NA	NA	5	20.581	0.027684	0.38901
2-oxoadipate[m]	8	-18.472	0.99335	0.99976	27.71	0.024225	0.13141	18.649	0.10687	0.22796	0	NA	NA	NA	8	18.649	0.2234	0.63481
glutaryl-CoA[m]	7	-18.605	0.99277	0.99976	28.48	0.021539	0.1199	18.858	0.082146	0.19419	0	NA	NA	NA	7	18.858	0.16603	0.59389
histone-N6-methyl-L-lysine[n]	22	1.6329	0.084455	0.73707	11.207	0.74339	0.9623	35.164	0.0026586	0.094452	10	26.091	0.0025921	0.11895	12	23.795	0.13217	0.54572
SAH[n]	27	-0.6091	0.12714	0.81038	12.199	0.78726	0.9623	33.998	0.011761	0.094452	12	22.802	0.014053	0.14204	15	25.218	0.1782	0.60467
histone-L-lysine[n]	21	3.3923	0.054254	0.73707	9.7497	0.75326	0.9623	34.29	0.0037886	0.094452	10	26.091	0.0025921	0.11895	11	22.501	0.14939	0.57245
SAM[n]	27	-0.6091	0.12714	0.81038	12.199	0.78726	0.9623	33.998	0.011761	0.094452	12	22.802	0.014053	0.14204	15	25.218	0.1782	0.60467
[protein]-N6-methyl-L-lysine[c]	19	6.3385	0.012564	0.52224	4.4807	0.91094	0.9791	32.913	0.0046385	0.094452	10	26.091	0.0025921	0.11895	9	20.319	0.1816	0.60467
[protein]-N6,N6-dimethyl-L-lysine[c]	19	6.3385	0.012564	0.52224	4.4807	0.91094	0.9791	32.913	0.0046385	0.094452	10	26.091	0.0025921	0.11895	9	20.319	0.1816	0.60467
[protein]-N6,N6,N6-trimethyl-L-lysine[c]	24	13.251	0.00045438	0.10603	-3.0459	0.98826	0.99247	36.791	0.0013616	0.094452	15	30.799	0.00061446	0.090632	9	20.319	0.1816	0.60467
N6,N6,N6-trimethyl-L-lysine[c]	6	13.248	0.0039617	0.30191	-12.09	0.98702	0.99247	16.932	0.12266	0.24203	5	16.447	0.056751	0.21783	1	4.6976	0.56373	0.7965
L-carnitine[c]	30	2.3959	0.049464	0.73707	12.226	0.79593	0.96692	37.488	0.0040063	0.094452	13	29.949	0.0011603	0.11803	17	23.611	0.3928	0.72062
procollagen-5-hydroxy-L-lysine[c]	6	-11.964	0.91843	0.99976	23.427	0.060318	0.25586	20.855	0.033431	0.13532	1	10.092	0.13641	0.315	5	18.332	0.078353	0.54522
[protein]-L-lysine[n]	21	3.2596	0.056766	0.73707	9.8823	0.74869	0.9623	34.424	0.0035356	0.094452	10	26.091	0.0025921	0.11895	11	22.686	0.13987	0.55484
[protein]-N6,N6-dimethyl-L-lysine[n]	21	3.2596	0.056766	0.73707	9.8823	0.74869	0.9623	34.424	0.0035356	0.094452	10	26.091	0.0025921	0.11895	11	22.686	0.13987	0.55484
[protein]-N6,N6,N6-trimethyl-L-lysine[n]	21	3.2596	0.056766	0.73707	9.8823	0.74869	0.9623	34.424	0.0035356	0.094452	10	26.091	0.0025921	0.11895	11	22.686	0.13987	0.55484
[protein]-N6,N6,N6-trimethyl-L-lysine[r]	5	16.676	0.00047979	0.10603	-15.408	0.99529	0.99664	16.447	0.11281	0.22796	5	16.447	0.056751	0.21783	0	NA	NA	NA
N6,N6,N6-trimethyl-L-lysine[r]	5	16.676	0.00047979	0.10603	-15.408	0.99529	0.99664	16.447	0.11281	0.22796	5	16.447	0.056751	0.21783	0	NA	NA	NA
peptide sans lysine[r]	5	16.676	0.00047979	0.10603	-15.408	0.99529	0.99664	16.447	0.11281	0.22796	5	16.447	0.056751	0.21783	0	NA	NA	NA
acetoacetyl-CoA[m]	9	-10.497	0.86684	0.99976	20.265	0.13445	0.43696	24.28	0.019539	0.11577	2	13.757	0.063059	0.23532	7	20.178	0.10354	0.54572
melatonin[c]	10	-5.154	0.57817	0.99976	13.416	0.38654	0.77642	-5.6308	0.99904	1	4	-9.3722	0.97922	0.99965	6	0.38298	0.99861	1
6-hydroxymelatonin[c]	28	-16.557	0.93813	0.99976	33.925	0.057182	0.24674	25.739	0.2688	0.39896	9	2.8987	0.70521	0.82745	19	29.251	0.095084	0.54572
phenylalanine[c]	34	-7.1592	0.46753	0.99976	29.606	0.17062	0.51385	37.165	0.011775	0.094452	12	22.936	0.01336	0.14204	22	29.264	0.17318	0.60467
phenethylamine[c]	6	-18.075	0.99126	0.99976	39.409	0.00057207	0.018323	20.046	0.045096	0.14177	0	NA	NA	NA	6	20.046	0.058521	0.5187
phenylacetaldehyde[c]	9	-20.882	0.99776	0.99976	38.3	0.00094322	0.025115	22.48	0.039532	0.13773	0	NA	NA	NA	9	22.48	0.080207	0.54522
phenylacetate[c]	5	-14.188	0.96796	0.99976	20.03	0.098659	0.34886	14.797	0.17607	0.31079	0	NA	NA	NA	5	14.797	0.26407	0.63481
iodide[c]	7	-7.0033	0.69708	0.99976	7.0033	0.61776	0.95736	0.38093	0.95544	0.9993	2	-6.9362	0.92993	0.99319	5	4.8376	0.9432	1
dopamine[c]	29	-19.522	0.97103	0.99976	44.199	0.0049869	0.051603	27.202	0.20096	0.34347	7	2.5358	0.71132	0.82894	22	29.801	0.14326	0.56257
PAP[c]	40	-16.466	0.89862	0.99976	33.204	0.14457	0.45554	34.607	0.068662	0.17482	13	11.135	0.35478	0.5152	27	34.396	0.077141	0.54345
noradrenaline[c]	17	-10.953	0.81976	0.99976	20.807	0.25131	0.63473	13.158	0.75017	0.87997	6	-3.1856	0.90188	0.97712	11	18.71	0.42785	0.74087
methylamine[c]	5	-16.129	0.98522	0.99976	33.656	0.00269	0.043712	17.605	0.079425	0.19038	0	NA	NA	NA	5	17.605	0.1048	0.54572
formylglutathione[c]	8	-14.539	0.96454	0.99976	23.777	0.062546	0.2613	10.817	0.55054	0.68572	0	NA	NA	NA	8	10.817	0.85322	0.96089
L-dopachrome[c]	24	-25.168	0.99867	0.99976	41.358	0.0058625	0.051603	27.092	0.10229	0.22605	2	0.60309	0.64821	0.78415	22	28.115	0.24949	0.63481
triiodothyronine[c]	37	-8.5627	0.49187	0.99976	15.235	0.79285	0.96487	-0.88201	1	1	13	-10.663	0.99679	0.99965	24	6.7525	1	1
3,5,3-triiodothyronine-4-sulfate[c]	7	-14.703	0.9638	0.99976	34.76	0.0034448	0.046049	24.462	0.0099488	0.094452	1	8.9455	0.17754	0.33424	6	22.77	0.013948	0.32381
tyramine[c]	13	-19.751	0.99441	0.99976	45.339	0.00015023	0.00651	28.064	0.011668	0.094452	2	7.1009	0.2867	0.43564	11	27.481	0.015192	0.32381
tetrahydrobiopterin[c]	6	-9.5392	0.84257	0.99976	14.872	0.26044	0.64972	13.407	0.28812	0.42309	1	3.2816	0.4697	0.61156	5	13.219	0.38971	0.718
tyrosine[c]	32	-8.5015	0.53855	0.99976	26.711	0.25113	0.63473	32.374	0.057736	0.15656	10	19.984	0.029071	0.1609	22	25.572	0.46482	0.76377
4alpha-hydroxytetrahydrobiopterin[c]	6	-9.2009	0.82913	0.99976	9.2009	0.48462	0.84331	11.661	0.39727	0.53113	1	3.2816	0.4697	0.61156	5	11.307	0.55753	0.7965
L-dopa[c]	6	-13.767	0.95393	0.99976	24.434	0.048535	0.223	11.686	0.39567	0.52932	1	-8.2095	0.95012	0.99796	5	16.472	0.15791	0.58969
L-dopaquinone[c]	22	-23.945	0.99839	0.99976	38.069	0.0098384	0.073297	25.917	0.1132	0.22796	2	0.60309	0.64821	0.78415	20	26.991	0.27296	0.63481
valine[c]	20	1.6755	0.08882	0.73707	15.876	0.52585	0.88951	32.452	0.0067617	0.094452	8	25.724	0.0030263	0.12041	12	20.892	0.31562	0.68263
isoleucine[c]	21	-2.9468	0.29696	0.92789	23.107	0.22169	0.57667	33.261	0.0063362	0.094452	7	24.745	0.0032851	0.12041	14	23.239	0.25858	0.63481
2-methyl-3-oxopropanoate[c]	6	-19.933	0.99626	0.99976	41.267	0.00028016	0.010815	22.821	0.015045	0.10522	0	NA	NA	NA	6	22.821	0.013531	0.32381
methylmalonate[c]	6	-19.933	0.99626	0.99976	41.267	0.00028016	0.010815	22.821	0.015045	0.10522	0	NA	NA	NA	6	22.821	0.013531	0.32381
leucine[c]	29	-3.2007	0.2337	0.87094	25.316	0.28068	0.68017	32.965	0.037827	0.13586	11	19.646	0.044326	0.18834	18	26.484	0.20724	0.63481
4-methyl-2-oxopentanoate[c]	35	-14.617	0.85553	0.99976	33.602	0.095688	0.34219	38.531	0.0062397	0.094452	10	22.429	0.012059	0.14204	25	31.405	0.16526	0.59209
alpha-hydroxyisocaproic acid[c]	31	-15.645	0.90967	0.99976	33.471	0.06907	0.27671	38.625	0.0045182	0.094452	8	22.061	0.013071	0.14204	23	31.832	0.09581	0.54572
arachidonyl-CoA[m]	9	-0.065007	0.26549	0.92789	1.6977	0.83031	0.96733	11.161	0.56937	0.70612	4	6.5973	0.3905	0.55805	5	9.0735	0.73923	0.90563
dihydrobiopterin[c]	5	-12.543	0.9426	0.99976	18.385	0.13375	0.43531	13.764	0.22529	0.37683	0	NA	NA	NA	5	13.764	0.34407	0.71368
tryptophan[c]	24	-5.0694	0.38097	0.99976	21.192	0.36435	0.75892	29.163	0.050734	0.1443	7	22.783	0.0075785	0.12041	17	20.031	0.70667	0.90563
L-formylkynurenine[c]	5	-0.52778	0.33383	0.92789	0.52778	0.80212	0.96733	3.1089	0.85579	0.9694	1	6.943	0.26608	0.41035	4	0.0043558	0.9922	1
formate[c]	46	-4.6263	0.22332	0.84223	19.93	0.6784	0.9623	29.972	0.35654	0.4873	20	17.073	0.1675	0.33422	26	24.892	0.74683	0.90563
tryptamine[c]	5	-11.792	0.92668	0.99976	23.476	0.047745	0.21982	14.555	0.18696	0.32456	1	1.0966	0.59925	0.74176	4	15.725	0.13266	0.54572
beta-carboline[c]	67	-21.924	0.97222	0.99976	30.322	0.45947	0.81174	45.2	0.0183	0.11111	19	23.064	0.024281	0.14204	48	38.891	0.36825	0.718
harman[c]	67	-21.924	0.97222	0.99976	30.322	0.45947	0.81174	45.2	0.0183	0.11111	19	23.064	0.024281	0.14204	48	38.891	0.36825	0.718
indole-3-acetaldehyde[c]	8	-21.306	0.99845	0.99976	39.781	0.00044565	0.015389	23.946	0.014993	0.10522	0	NA	NA	NA	8	23.946	0.023529	0.38753
indoleacetate[c]	8	-21.033	0.9982	0.99976	39.509	0.00049691	0.016639	23.541	0.01789	0.11111	0	NA	NA	NA	8	23.541	0.029237	0.40079
5-hydroxy-L-tryptophan[c]	7	-7.5134	0.72604	0.99976	12.451	0.38609	0.77642	4.585	0.84057	0.96742	2	-3.4846	0.83498	0.91326	5	7.6289	0.83197	0.94501
3-hydroxykynurenine-O-beta-D-glucoside[c]	22	-23.945	0.99839	0.99976	38.069	0.0098384	0.073297	25.917	0.1132	0.22796	2	0.60309	0.64821	0.78415	20	26.991	0.27296	0.63481
glutathionyl-3-hydroxykynurenine glucoside[c]	21	-24.508	0.99907	0.99976	38.965	0.0063978	0.051603	28.318	0.050484	0.14396	1	9.0624	0.17302	0.33422	20	26.991	0.27296	0.63481
phenylpyruvate[c]	5	-2.9485	0.48997	0.99976	10.353	0.40977	0.77934	18.359	0.062077	0.16609	2	11.92	0.10331	0.30375	3	13.969	0.16301	0.59209
salsolinol[c]	69	-23.257	0.97132	0.99976	33.105	0.39142	0.77934	46.412	0.015045	0.10522	19	23.064	0.024281	0.14204	50	40.304	0.33002	0.69731
(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline[c]	67	-21.924	0.97222	0.99976	30.322	0.45947	0.81174	45.2	0.0183	0.11111	19	23.064	0.024281	0.14204	48	38.891	0.36825	0.718
ascorbate[c]	6	3.8075	0.12738	0.81038	-1.796	0.87106	0.96733	16.922	0.123	0.2425	3	14.686	0.065886	0.24339	3	9.2455	0.51824	0.79202
dehydroascorbic acid[c]	7	14.278	0.0012489	0.16495	-11.558	0.98947	0.99291	18.014	0.1057	0.22796	6	17.282	0.048654	0.2006	1	5.3287	0.50757	0.79202
adrenaline[c]	10	-15.843	0.97829	0.99976	28.236	0.025399	0.13397	14.311	0.4058	0.54048	2	-8.1657	0.95092	0.99829	8	20.084	0.13731	0.55484
3,4-dihydroxymandelaldehyde[c]	13	-20.964	0.997	0.99976	31.834	0.018242	0.1039	18.799	0.2513	0.39248	0	NA	NA	NA	13	18.799	0.57628	0.7965
3-methoxy-4-hydroxyphenylglycolaldehyde[c]	6	-17.422	0.98844	0.99976	28.089	0.020275	0.11402	18.951	0.065892	0.17012	0	NA	NA	NA	6	18.951	0.094521	0.54572
vanillylmandelate[c]	6	-16.456	0.98283	0.99976	27.123	0.025869	0.13483	17.81	0.094772	0.21454	0	NA	NA	NA	6	17.81	0.14713	0.5667
3,4-dihydroxymandelate[c]	6	-16.456	0.98283	0.99976	27.123	0.025869	0.13483	17.81	0.094772	0.21454	0	NA	NA	NA	6	17.81	0.14713	0.5667
3,4-dihydroxyphenylethyleneglycol[c]	9	-15.547	0.9746	0.99976	24.257	0.060727	0.25612	12.304	0.49193	0.62733	0	NA	NA	NA	9	12.304	0.82234	0.93552
3,4-dihydroxyphenylacetaldehyde[c]	9	-20.882	0.99776	0.99976	38.3	0.00094322	0.025115	22.48	0.039532	0.13773	0	NA	NA	NA	9	22.48	0.080207	0.54522
3,4-dihydroxyphenylacetate[c]	6	-16.456	0.98283	0.99976	27.123	0.025869	0.13483	17.81	0.094772	0.21454	0	NA	NA	NA	6	17.81	0.14713	0.5667
homovanillate[c]	6	-16.456	0.98283	0.99976	27.123	0.025869	0.13483	17.81	0.094772	0.21454	0	NA	NA	NA	6	17.81	0.14713	0.5667
3-methoxy-4-hydroxyphenylacetaldehyde[c]	6	-17.422	0.98844	0.99976	28.089	0.020275	0.11402	18.951	0.065892	0.17012	0	NA	NA	NA	6	18.951	0.094521	0.54572
4-hydroxyphenylpyruvate[c]	6	-6.0431	0.6713	0.99976	18.136	0.16129	0.49369	20.917	0.032642	0.13409	2	11.92	0.10331	0.30375	4	17.189	0.074511	0.54345
4-hydroxyphenylacetaldehyde[c]	9	-20.882	0.99776	0.99976	38.3	0.00094322	0.025115	22.48	0.039532	0.13773	0	NA	NA	NA	9	22.48	0.080207	0.54522
3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[c]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
triiodothyronine[r]	26	-7.6217	0.55519	0.99976	10.184	0.78918	0.96305	-8.0159	1	1	10	-15.839	0.99965	0.99965	16	2.3032	0.99999	1
UDP-glucuronate[r]	25	-8.0508	0.57242	0.99976	10.664	0.80146	0.96733	-6.0001	0.99999	1	8	-14.24	0.99834	0.99965	17	2.4924	1	1
3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[r]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[c]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
thyroxine[c]	32	-5.0692	0.31342	0.92789	7.5633	0.92756	0.9791	-4.148	1	1	12	-9.2209	0.99467	0.99965	20	1.8956	1	1
thyroxine[r]	25	-7.7726	0.55405	0.99976	10.385	0.81	0.96733	-6.8039	1	1	9	-14.411	0.99881	0.99965	16	2.3032	0.99999	1
3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[r]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
dopamine-O-quinone[c]	28	-24.469	0.99795	0.99976	41.927	0.0073174	0.057755	27.181	0.1933	0.33374	2	7.9836	0.24471	0.39801	26	25.993	0.66151	0.8779
5-S-glutathionyl-dopamine[c]	21	-24.508	0.99907	0.99976	38.965	0.0063978	0.051603	28.318	0.050484	0.14396	1	9.0624	0.17302	0.33422	20	26.991	0.27296	0.63481
dopaminochrome[c]	27	-25.397	0.99843	0.99976	43.174	0.0048581	0.051603	27.034	0.14818	0.28235	1	9.0624	0.17302	0.33422	26	25.772	0.67954	0.89537
5-S-glutathionyl-aminochrome reduced[c]	21	-24.508	0.99907	0.99976	38.965	0.0063978	0.051603	28.318	0.050484	0.14396	1	9.0624	0.17302	0.33422	20	26.991	0.27296	0.63481
adrenochrome[c]	22	-25.695	0.9994	0.99976	42.605	0.0022793	0.042582	29.504	0.03425	0.13586	1	9.0624	0.17302	0.33422	21	28.221	0.2339	0.63481
5-S-glutathionyl-adrenochrome hydroquinone[c]	21	-24.508	0.99907	0.99976	38.965	0.0063978	0.051603	28.318	0.050484	0.14396	1	9.0624	0.17302	0.33422	20	26.991	0.27296	0.63481
noradrenochrome[c]	22	-25.695	0.9994	0.99976	42.605	0.0022793	0.042582	29.504	0.03425	0.13586	1	9.0624	0.17302	0.33422	21	28.221	0.2339	0.63481
5-S-glutathionyl-noradrenochrome hydroquinone[c]	21	-24.508	0.99907	0.99976	38.965	0.0063978	0.051603	28.318	0.050484	0.14396	1	9.0624	0.17302	0.33422	20	26.991	0.27296	0.63481
3,3-diiodo-L-thyronine[c]	51	-16.828	0.86777	0.99976	29.697	0.35719	0.74587	12.252	0.99889	1	17	-9.4745	0.99658	0.99965	34	21.705	0.98454	1
3,3-diiodo-L-thyronine[r]	26	-7.6217	0.55519	0.99976	10.184	0.78918	0.96305	-8.0159	1	1	10	-15.839	0.99965	0.99965	16	2.3032	0.99999	1
3,3-diiodo-L-thyronine-beta-D-glucuronoside[c]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
3,3-diiodo-L-thyronine-4-O-sulfate[c]	25	-16.262	0.94058	0.99976	32.03	0.062087	0.25987	25.673	0.19909	0.34107	7	4.1657	0.62433	0.76063	18	27.659	0.13836	0.55484
3,3-diiodo-L-thyronine-beta-D-glucuronoside[r]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
reverse triiodthyronine[c]	32	-10.33	0.65814	0.99976	17.361	0.64378	0.95736	0.25009	0.99996	1	11	-12.222	0.99768	0.99965	21	9.1547	0.99989	1
reverse triiodthyronine[r]	25	-7.7726	0.55405	0.99976	10.385	0.81	0.96733	-6.8039	1	1	9	-14.411	0.99881	0.99965	16	2.3032	0.99999	1
3,3,5-triiodo-L-thyronine-beta-D-glucuronoside[c]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
3,3,5-triiodo-L-thyronine-beta-D-glucuronoside[r]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
3,5-diiodo-L-thyronine[c]	28	-11.918	0.776	0.99976	19.325	0.49795	0.85728	-0.89491	0.99997	1	9	-14.411	0.99881	0.99965	19	8.8318	0.99977	1
3,5-diiodo-L-thyronine[r]	25	-7.7726	0.55405	0.99976	10.385	0.81	0.96733	-6.8039	1	1	9	-14.411	0.99881	0.99965	16	2.3032	0.99999	1
3,5-diiodo-L-thyronine-beta-D-glucuronoside[c]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
3,5-diiodo-L-thyronine-beta-D-glucuronoside[r]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
3-monoiodo-L-thyronine[c]	5	-13.57	0.9598	0.99976	25.254	0.031296	0.15648	14.472	0.19078	0.33069	1	-2.9557	0.80474	0.88299	4	17.658	0.060777	0.5267
5-S-glutathionyl-L-dopa[c]	21	-24.508	0.99907	0.99976	38.965	0.0063978	0.051603	28.318	0.050484	0.14396	1	9.0624	0.17302	0.33422	20	26.991	0.27296	0.63481
5-S-glutathionyl-dopachrome hydroquinone[c]	21	-24.508	0.99907	0.99976	38.965	0.0063978	0.051603	28.318	0.050484	0.14396	1	9.0624	0.17302	0.33422	20	26.991	0.27296	0.63481
2-phenylacetamide[c]	6	-9.0782	0.82408	0.99976	19.745	0.12295	0.41045	11.316	0.42019	0.55507	1	2.2281	0.53262	0.67767	5	11.4	0.54936	0.7965
cysteine[c]	42	-3.1425	0.16129	0.81038	27.628	0.33451	0.72521	49.047	5.0063e-05	0.026906	16	35.29	6.9159e-05	0.035703	26	34.654	0.062472	0.5267
mercaptopyruvate[c]	9	-10.389	0.86295	0.99976	23.836	0.06655	0.27186	16.86	0.21257	0.35971	3	3.9874	0.5038	0.6494	6	17.83	0.14605	0.5667
5-methyl-THF[c]	6	-15.914	0.97878	0.99976	26.581	0.029537	0.14972	14.467	0.22956	0.37767	1	-6.0197	0.90622	0.97874	5	18.54	0.071792	0.54345
sulfite[c]	27	-15.427	0.9045	0.99976	33.335	0.065358	0.26998	28.322	0.10205	0.22575	8	7.1794	0.45684	0.60494	19	29.103	0.10112	0.54572
cystine[c]	9	7.1942	0.033178	0.73707	0.33582	0.86576	0.96733	21.171	0.062643	0.1672	5	18.357	0.032117	0.17271	4	11.234	0.45822	0.76336
DNA-5-methylcytosine[c]	5	-4.8406	0.6144	0.99976	4.8406	0.64666	0.95736	5.2443	0.75731	0.88413	2	-2.4865	0.79648	0.87486	3	8.8006	0.55668	0.7965
H2O2[m]	52	-19.868	0.95015	0.99976	44.21	0.026387	0.13721	51.149	0.00015433	0.031475	15	25.828	0.0061788	0.12041	37	44.192	0.0044248	0.32381
thiocyanate[c]	11	-8.4843	0.75052	0.99976	24.653	0.070159	0.27887	21.465	0.1003	0.22277	3	11.468	0.14664	0.32213	8	18.148	0.25952	0.63481
3-mercaptolactate[c]	5	-7.3942	0.76339	0.99976	13.237	0.29311	0.69873	6.84	0.66484	0.81073	2	-1.6819	0.76185	0.87015	3	10.204	0.43535	0.74655
hypothiocyanite[c]	9	-9.7627	0.83874	0.99976	22.901	0.081028	0.30792	17.444	0.18484	0.32266	2	7.4801	0.26824	0.41245	7	15.781	0.38577	0.718
L-cysteate[c]	5	-16.396	0.9868	0.99976	33.923	0.0024569	0.042582	17.824	0.074039	0.18216	0	NA	NA	NA	5	17.824	0.096212	0.54572
DNA[n]	5	-4.8406	0.6144	0.99976	4.8406	0.64666	0.95736	5.2443	0.75731	0.88413	2	-2.4865	0.79648	0.87486	3	8.8006	0.55668	0.7965
